Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
CVL0079,0.8333333333333334,0.75,1.0,0.8571428571428571,0.33333333277777777,0.0,0.0,1.0
CVL0080,0.9444444444444444,0.9,1.0,0.9473684210526315,0.1111111109876543,0.0,0.0,1.0
CVL0083,0.8181818181818182,0.7333333333333333,1.0,0.8461538461538461,0.3636363633057851,0.0,0.045454545454545456,0.9669421487603306
CVL0084,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0095,0.6666666666666666,0.6,1.0,0.75,0.6666666655555555,0.0,0.33333333333333337,0.6944444444444444
CVL0096,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0097,0.75,0.6666666666666666,1.0,0.8,0.49999999937499995,0.0,0.1875,0.890625
CVL0098,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0152,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348,0.09090909082644627,0.0,0.0,1.0
CVL0153,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0155,0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523,0.0,0.09090909082644627,0.0,1.0
CVL0157,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0161,0.6666666666666666,0.6,1.0,0.75,0.6666666655555555,0.0,0.0,1.0
CVL0162,0.8333333333333334,1.0,0.6666666666666666,0.8,0.0,0.3333333330555555,0.0,1.0
CVL0163,0.9375,1.0,0.875,0.9333333333333333,0.0,0.12499999984374999,0.0,1.0
CVL0164,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348,0.09090909082644627,0.0,0.09090909090909093,0.9917355371900827
CVL0165,0.8636363636363636,1.0,0.7272727272727273,0.8421052631578947,0.0,0.2727272724793388,0.04545454545454547,0.9504132231404958
CVL0167,0.4375,0.4444444444444444,0.5,0.47058823529411764,0.6249999992187499,0.49999999937499995,0.4375,0.546875
CVL0168,0.875,0.8,1.0,0.8888888888888888,0.24999999968749997,0.0,0.0,1.0
CVL0170,0.5,0.5,1.0,0.6666666666666666,0.9999999983333333,0.0,0.4166666666666667,0.7500000000000001
CVL0171,0.8888888888888888,1.0,0.7777777777777778,0.875,0.0,0.2222222219753086,0.11111111111111113,0.9876543209876543
CVL0172,0.7916666666666666,0.7692307692307693,0.8333333333333334,0.8,0.24999999979166665,0.16666666652777776,0.16666666666666663,0.8611111111111112
CVL0175,0.875,0.875,0.875,0.875,0.12499999984374999,0.12499999984374999,0.125,0.984375
CVL0176,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.0,0.14285714265306124,0.0,1.0
CVL0177,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714265306124,0.14285714265306124,0.14285714285714288,0.8571428571428571
CVL0180,0.875,1.0,0.75,0.8571428571428571,0.0,0.24999999968749997,0.0625,0.953125
CVL0181,0.7857142857142857,0.7,1.0,0.8235294117647058,0.4285714279591837,0.0,0.0,1.0
CVL0183,0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523,0.0,0.09090909082644627,0.09090909090909093,0.9917355371900827
CVL0184,0.8888888888888888,1.0,0.7777777777777778,0.875,0.0,0.2222222219753086,0.0,1.0
CVL0185,0.875,0.8,1.0,0.8888888888888888,0.24999999968749997,0.0,0.125,0.953125
CVL0186,0.875,0.875,0.875,0.875,0.12499999984374999,0.12499999984374999,0.0625,0.921875
CVL0188,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551724,0.6363636357851239,0.0,0.1818181818181818,0.9008264462809916
CVL0189,0.9444444444444444,0.9,1.0,0.9473684210526315,0.1111111109876543,0.0,0.11111111111111113,0.9876543209876543
CVL0190,0.9642857142857143,0.9333333333333333,1.0,0.9655172413793104,0.07142857137755101,0.0,0.0,1.0
CVL0191,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.0,0.14285714265306124,0.14285714285714288,0.979591836734694
CVL0192,0.85,1.0,0.7,0.8235294117647058,0.0,0.29999999969999996,0.24999999999999997,0.9299999999999999
CVL0193,0.8888888888888888,0.8181818181818182,1.0,0.9,0.2222222219753086,0.0,0.16666666666666666,0.9753086419753085
CVL0194,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.14285714265306124,0.2857142853061225,0.21428571428571427,0.9591836734693878
CVL0196,0.875,1.0,0.75,0.8571428571428571,0.0,0.24999999979166665,0.125,0.9861111111111112
CVL0197,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0199,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0200,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0201,0.4166666666666667,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.8333333319444445,0.33333333277777777,0.5,0.6111111111111112
CVL0202,0.8333333333333334,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.24999999979166665,0.08333333326388888,0.25,0.8541666666666666
CVL0203,0.9375,1.0,0.875,0.9333333333333333,0.0,0.12499999984374999,0.125,0.984375
CVL0205,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0207,0.9375,0.8888888888888888,1.0,0.9411764705882353,0.12499999984374999,0.0,0.0625,0.9375
CVL0208,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.45454545413223135,0.0,0.13636363636363635,0.9090909090909091
CVL0209,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,0.0,0.16666666638888888,0.16666666666666663,0.9722222222222223
CVL0211,0.75,0.6666666666666666,1.0,0.8,0.49999999949999996,0.0,0.09999999999999999,0.9700000000000001
CVL0213,0.8,0.8,0.8,0.8,0.1999999998,0.1999999998,0.24999999999999997,0.92
CVL0214,0.625,0.5714285714285714,1.0,0.7272727272727273,0.7499999990624999,0.0,0.4375,0.671875
CVL0215,0.9375,0.8888888888888888,1.0,0.9411764705882353,0.12499999984374999,0.0,0.1875,0.96875
CVL0217,0.9285714285714286,0.875,1.0,0.9333333333333333,0.14285714265306124,0.0,0.0,1.0
CVL0220,0.95,0.9090909090909091,1.0,0.9523809523809523,0.0999999999,0.0,0.0,1.0
CVL0221,0.5625,0.5384615384615384,0.875,0.6666666666666666,0.7499999990624999,0.12499999984374999,0.0625,0.890625
CVL0228,0.9375,1.0,0.875,0.9333333333333333,0.0,0.12499999984374999,0.0,1.0
CVL0229,0.8,1.0,0.6,0.75,0.0,0.3999999996,0.0,1.0
CVL0231,0.9285714285714286,0.875,1.0,0.9333333333333333,0.14285714265306124,0.0,0.0,1.0
CVL0232,0.7857142857142857,0.7,1.0,0.8235294117647058,0.4285714279591837,0.0,0.0,1.0
CVL0233,0.3333333333333333,0.375,0.5,0.42857142857142855,0.8333333326388889,0.4999999995833333,0.3333333333333333,0.4930555555555556
CVL0234,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0235,0.6111111111111112,0.5625,1.0,0.72,0.7777777769135802,0.0,0.0,1.0
CVL0236,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0238,0.6666666666666666,0.6,1.0,0.75,0.6666666655555555,0.0,0.33333333333333337,0.888888888888889
CVL0241,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0242,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0244,0.8076923076923077,0.75,0.9230769230769231,0.8275862068965517,0.30769230745562126,0.07692307686390532,0.0769230769230769,0.9526627218934911
CVL0245,0.875,0.8,1.0,0.8888888888888888,0.24999999968749997,0.0,0.0,1.0
CVL0246,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714265306124,0.14285714265306124,0.14285714285714288,0.8571428571428571
CVL0247,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142853061225,0.2857142853061225,0.2857142857142857,0.8979591836734694
CVL0248,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0250,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0251,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273,0.0,0.4285714279591837,0.07142857142857142,0.9387755102040817
CVL0252,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0254,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348,0.09090909082644627,0.0,0.045454545454545456,0.9338842975206612
CVL0256,0.75,0.8571428571428571,0.6,0.7058823529411765,0.0999999999,0.3999999996,0.09999999999999999,0.91
CVL0262,0.9375,0.8888888888888888,1.0,0.9411764705882353,0.12499999984374999,0.0,0.125,0.984375
CVL0263,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0265,0.8,0.875,0.7,0.7777777777777778,0.0999999999,0.29999999969999996,0.09999999999999999,0.9600000000000001
CVL0285,0.8571428571428571,0.8125,0.9285714285714286,0.8666666666666667,0.21428571413265304,0.07142857137755101,0.07142857142857141,0.9744897959183674
CVL0286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0288,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0290,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333326388888,0.08333333326388888,0.08333333333333334,0.9027777777777778
CVL0291,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.45454545413223135,0.0,0.0,1.0
CVL0309,0.8888888888888888,1.0,0.7777777777777778,0.875,0.0,0.2222222219753086,0.11111111111111113,0.9876543209876543
CVL0311,0.8125,0.7272727272727273,1.0,0.8421052631578947,0.37499999953124996,0.0,0.125,0.984375
CVL0313,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.0,0.14285714265306124,0.07142857142857145,0.9183673469387754
CVL0322,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348,0.09090909082644627,0.0,0.13636363636363635,0.9834710743801652
CVL0324,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0363,0.9615384615384616,1.0,0.9230769230769231,0.96,0.0,0.07692307686390532,0.0769230769230769,0.9940828402366865
CVL0368,0.8888888888888888,0.8181818181818182,1.0,0.9,0.2222222219753086,0.0,0.11111111111111113,0.9876543209876543
CVL0384,0.9090909090909091,0.8461538461538461,1.0,0.9166666666666666,0.18181818165289254,0.0,0.0,1.0
CVL0387,0.875,0.8461538461538461,0.9166666666666666,0.88,0.16666666652777776,0.08333333326388888,0.16666666666666663,0.9305555555555556
CVL0388,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.0,0.14285714265306124,0.07142857142857145,0.8979591836734694
